Country	Number groups	Revenue	P/L before tax	Income tax paid	Income tax accrued	capital	accum_earnings	Number employees	Tangible assets	ISO2	Income tax as % of pretax profits	Sales share %	Employment share %	Profit total (M)	Sales total (M)	Employment (th)	Subject Descriptor	Units	Scale	Country/Series-specific Notes	GDP_USD	Estimates Start After	Reg	Inc	Year	ISO	TotTax (X)	CIT (AK)	CITnr (AM)	TTxsc (Y)	GDP_LCU	number_datapoints	CIT	G7	G24	G77	EU	OECD	G20	US	G7_noUS	OECD_noUS	G20_noOECD	All	TotTax (X) USD	CIT (AK) USD	CITnr (AM) USD	TTxsc (Y) USD	routine	residual	reallocation_residual_1	reallocation_residual_2	new_profits_1	new_profits_2	gains_1	gains_2	new_profits_3	new_profits_4	gains_3	gains_4	reallocation_0.8residual_1	reallocation_0.8residual_2	reallocation_0.2residual_1	reallocation_0.2residual_2	new_profits_5	new_profits_6	gains_5	gains_6	new_profits_7	new_profits_8	gains_7	gains_8	gains_1_tax	gains_1_%tot_tax	gains_1_%cit	gains_2_tax	gains_2_%tot_tax	gains_2_%cit	gains_3_tax	gains_3_%tot_tax	gains_3_%cit	gains_4_tax	gains_4_%tot_tax	gains_4_%cit	gains_5_tax	gains_5_%tot_tax	gains_5_%cit	gains_6_tax	gains_6_%tot_tax	gains_6_%cit	gains_7_tax	gains_7_%tot_tax	gains_7_%cit	gains_8_tax	gains_8_%tot_tax	gains_8_%cit
All jurisdictions	1101.0	16265102689056.0	1420512512505.0	262829548768.0	263123782157.0	22375636250582.0	11263467499021.0	27553900.0	6216011124153.0	World	18.50244517061759																							False	False	False	False	False	False	False	False	False	False	True					466200834311.47504	954311678193.5249	954311678193.5249	954311678193.5249	1420512512505.0	1420512512505.0	0.0	0.0	1420512512505.0	1420512512505.0	0.0	0.0	763449342554.82	763449342554.82	190862335638.705	190862335638.705	1420512512505.0	1420512512505.0	0.0	0.0	1420512512505.0	1420512512505.0	0.0	0.0																								
United States	1017.0	10518611804865.0	867852046303.0	176579355389.0	185540113249.0	11807553304223.0	7383423717579.0	16377437.0	4223574794406.0	US	20.346711878046253						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	18624450000000.0	2017.0	North America	High Income	1980.0	USA	0.27011274287415193	0.01909301271721392	0.01909301271721392	0.20784717686062384	2857330.0	5.0	0.4000000060000001	True	False	False	False	True	True	True	False	False	False	True	5030701274022.499	355596860701.1148	355596860701.1148	3871039353081.8457	284822093775.08405	583029952527.916	617151596006.8944	592186818366.7847	933919705587.3445	908954927947.2349	66067659284.34448	41102881644.23486	901973689781.9785	877008912141.8687	34121643478.978516	9156865838.868652	466423962022.3327	466423962022.3327	123430319201.37888	118437363673.35693	874676374998.7957	869683419470.7737	6824328695.795654	1831373167.7736816	918642812691.6875	881482228974.625	50790766388.6875	13630182671.625	26427064110.143753	0.005253157098913355	0.07431748429398016	16441152904.311237	0.003268163225912449	0.046235371346909346	13648657596.32127	0.00271307256242785	0.03838239057963225	3662746390.4886565	0.0007280786894269237	0.010300277632561151	2729731519.2642345	0.0005426145124855661	0.007676478115926395	732549278.0977118	0.00014561573788538087	0.0020600555265121753	20316306860.2196	0.004038464173002839	0.05713297586531789	5452073150.431097	0.001083760067127117	0.015332174585797755
Stateless entities and other country	453.0	644971468306.0	120847250430.0	703005166.0	824776627.0	1618818933438.0	661979718734.0	482627.0	385980718429.0	Stateless	0.5817303773967214													Tax haven									0.35	False	False	False	False	False	False	False	False	False	False	True					39661100116.156456	81186150313.84354	37841986987.280655	27278732004.549965	66790540869.45566	56227285886.72497	-54056709560.54434	-64619964543.27503	77503087103.4371	66939832120.70642	-43344163326.5629	-53907418309.29358	64948920251.07483	64948920251.07483	7568397397.456131	5455746400.909993	112178417764.68742	110065766768.14128	-8668832665.312576	-10781483661.858719	56328574030.69794	40604952263.69404	-64518676399.30206	-80242298166.30597	-18919848346.190517			-22616987590.14626			-15170457164.297012			-18867596408.25275			-3034091432.8594017			-3773519281.6505513			-22581536739.755722			-28084804358.20709		
Algeria	33.0	2502085411.0	1219730603.0	715789440.0	649633022.0	884820957.0	1402442193.0	4133.0	1615036122.0	DZ	58.68422406058135						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	159049000000.0	2016.0	Middle East & North Africa	UMICs	1980.0	DZA	0.1432174722089265			0.1432174722089265	162500.0	3.0	0.25	False	True	True	False	False	False	False	False	False	False	True	22778595737.35755			22778595737.35755	400305819.02518576	819424783.9748142	146803212.57126522	144973510.18986827	267930921.7212652	266101219.3398683	-951799681.2787348	-953629383.6601317	547109031.596451	545279329.215054	-672621571.403549	-674451273.784946	655539827.1798514	655539827.1798514	29360642.514253046	28994702.037973657	1085206288.7192903	1084840348.2430108	-134524314.28070974	-134890254.75698924	218519593.85864767	215796044.32412395	-1001211009.1413523	-1003934558.675876	-237949920.3196837	-0.010446206740015979		-238407345.91503292	-0.010466288118193258		-168155392.85088724	-0.0073821667845444736		-168612818.4462365	-0.007402248162721753		-33631078.570177436	-0.001476433356908894		-33722563.68924731	-0.001480449632544351		-250302752.28533807	-0.010988506717946373		-250983639.668969	-0.01101839826137081	
Angola	31.0	5987970691.0	-477367266.0	495422226.0	498517108.0	3154368161.0	-1727795212.0	10297.0	17038207917.0	AO	-103.78219481852786						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	95337000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	AGO	0.1662693771190832			0.15807682247326316	0.000161254	3.0	0.3200000048	False	False	False	False	False	False	False	False	False	False	True	15851623606.402037			15070570024.13349	-156668115.00993693	-320699150.9900631	351328268.15454334	353979133.9567574	1629193861.9295433	1631844727.7317574	2106561127.9295433	2109211993.7317574	194660153.1446064	197311018.9468205	672027419.1446064	674678284.9468205	-256559320.79205042	-256559320.79205042	70265653.63090867	70795826.79135148	-342961782.1710787	-342431609.01063585	134405483.82892132	134935656.98936415	522959335.313756	526905203.44789094	1000326601.313756	1004272469.447891	674099571.0489473	0.0425255852515131		674947848.11838	0.042579098827818934		215048777.35200566	0.013566356525469944		215897054.42143834	0.013619870101775785		43009755.470401146	0.0027132713050939893		43179410.884287685	0.002723974020355158		320104517.2219696	0.020193800027694837		321367195.043833	0.020273456083958592	
Botswana	20.0	276754742.0	12152580.0	4017169.0	3470990.0	20169548.0	36714926.0	1310.0	42759061.0	BW	33.05610002155921						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	15660000000.0	2015.0	Sub - Saharan Africa	UMICs	1980.0	BWA	0.23153546323749874			0.23153546323749874	879.0	3.0	0.219999999	False	False	False	False	False	False	False	False	False	False	True	3625845354.29923			3625845354.29923	3988379.4652720476	8164200.534727952	16237849.052360613	30804429.99788336	19444778.627360616	34011359.57288337	7292198.627360616	21858779.572883368	20226228.51763266	34792809.46315541	8073648.5176326595	22640229.46315541	6531360.42778236	6531360.42778236	3247569.8104721224	6160885.999576673	13767309.70352653	16680625.89263108	1614729.7035265304	4528045.89263108	24170371.464707296	45853026.06315165	12017791.464707296	33700446.06315165	1604283.6907271368	0.0004424578364394137		4808931.484175561	0.0013262924957551001		1776202.6658055366	0.0004898727033957643		4980850.459253961	0.0013737073627114508		355240.533161107	9.797454067915277e-05		996170.0918507917	0.00027474147254229		2643914.110217814	0.0007291855696721531		7414098.100192917	0.0020447915936077877	
Cameroon	13.0	86250356.0	-34590586.0	8724124.0	5750930.0	32048346.0	5901016.0	575.0	28962338.0	CM	-25.22109339228887						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	32230000000.0	2016.0	Sub - Saharan Africa	LMICs	1980.0	CMR	0.13376192369644824	0.023819514351113787		0.13145357149503434	1713950.0	4.0	0.330000013	False	False	True	False	False	False	False	False	False	False	True	4311146800.7365265	767702947.5363973		4236748609.284957	-11352353.401016638	-23238232.598983362	5060510.440830551	12487633.576315472	7232685.790830553	14659808.926315473	41823271.79083055	49250394.92631547	-6291842.960186087	1135280.1752988342	28298743.039813913	35725866.17529883	-18590586.07918669	-18590586.07918669	1012102.0881661102	2497526.7152630943	-28930837.392037217	-27445412.764940232	5659748.607962783	7145173.235059768	7532673.617145269	18588098.7858313	42123259.61714527	53178684.7858313	13801680.234676614	0.003201394170181981	0.017977891421372023	16252630.965939239	0.0037699089632398045	0.02117046836682712	9338585.57102225	0.0021661488236556507	0.01216432163115995	11789536.302284874	0.0027346636167134746	0.015356898576615045	1867717.1142044503	0.00043322976473113024	0.00243286432623199	2357907.2604569755	0.0005469327233426951	0.0030713797153230095	13900676.221260313	0.003224356966662673	0.018106842322109584	17548966.67064723	0.004070602900288416	0.02285905860719028
Congo (Brazzaville)	15.0	507627605.0	-429416667.0	45717068.0	38070890.0	159832636.0	-235530161.0	936.0	3607467348.0	CG	-10.646318951565052						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	7787000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	COG	0.17503683161452466			0.17503683161452466	440143.0	3.0	0.325000003	False	False	True	False	False	False	False	False	False	False	True	1363011807.7823036			1363011807.7823036	-140931112.2994759	-288485554.7005241	29783700.778653096	31100730.634757128	300343751.87865305	301660781.73475707	729760418.878653	731077448.7347571	-111147411.52082281	-109830381.66471878	318269255.4791772	319586285.33528125	-230788443.76041925	-230788443.76041925	5956740.15573062	6220146.126951425	-365762815.90416455	-365499409.93294376	63653851.09583545	63917257.06705624	44333649.67813165	46294075.64030775	473750316.67813164	475710742.6403077	237172138.3248435	0.1740059308148884		237600173.03202838	0.17431996676435044		103437508.98554035	0.07588893096519755		103865543.69272526	0.07620296691465961		20687501.797108073	0.015177786193039512		20773108.73854505	0.015240593382931919		153968854.34164372	0.11296223074703927		154605992.78523222	0.1134296797008566	
Cote D'Ivoire (Ivory Coast)	19.0	1195210848.0	-51869522.0	9869963.0	13141456.0	653170132.0	-317366403.0	1068.0	199283228.0	CI	-19.028444102492408						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	36375000000.0	2015.0	Sub - Saharan Africa	LMICs	1980.0	CIV	0.16470285497589252			0.16470285497589252	2121148.0	3.0	0.25	False	True	False	False	False	False	False	False	False	False	True	5991066349.74809			5991066349.74809	-17023161.865075294	-34846360.13492471	70125820.41166227	53557658.17818142	85072062.51166226	68503900.27818142	136941584.51166224	120373422.27818142	53102658.546586975	36534496.31310612	104972180.54658698	88404018.31310612	-27877088.107939765	-27877088.107939765	14025164.082332453	10711531.635636283	-30875085.8906826	-34188718.33737877	20994436.1093174	17680803.66262123	104383722.44695923	79721673.0351531	156253244.44695923	131591195.0351531	34235396.12791556	0.0057144077747286305		30093355.569545355	0.005023038272779387		26243045.136646744	0.004380362961219784		22101004.57827653	0.0036889934592705394		5248609.02732935	0.000876072592243957		4420200.9156553075	0.0007377986918541082		39063311.11173981	0.006520260139229192		32897798.758788276	0.005491142450821222	
Egypt	138.0	10302447024.0	430613663.0	515920549.0	475988503.0	1432994190.0	10075866816.0	34226.0	5294260864.0	EG	119.81053861730342						Gross domestic product, current prices	U.S. dollars	Dollars	See notes for:  Gross domestic product, current prices (National currency).	332484000000.0	2017.0	Middle East & North Africa	LMICs	1980.0	EGY		0.033400576368876084	0.014736599423631125	0.13314121037463975	16466.0	4.0	0.2349999964	False	True	True	False	False	False	False	False	False	False	True		11105157233.429396	4899683522.766571	44267322190.20172	141323956.80380443	289289706.1961956	604468701.9153364	894932145.0603466	1001538266.7153363	1292001709.8603468	570924603.7153363	861388046.8603468	745792658.7191408	1036256101.864151	315178995.71914077	605642438.864151	231431764.95695642	231431764.95695642	120893740.38306727	178986429.01206934	493649462.1438281	551742150.7728302	63035799.143828094	121128487.77283025	899764064.6227777	1332124859.152528	469150401.6227777	901511196.152528	134167279.81777546		0.012081529058759947	202426187.91118452		0.0182281244340989	74067062.85935369		0.0066696095608977666	142325970.9527627		0.012816204936236716	14813412.571870726		0.0013339219121795522	28465194.19055255		0.0025632409872473443	110250342.69241132		0.009927850671085437	211855127.8504038		0.019077183996338662
